p_date,sostype,refer_domain,pv,page_uv
20190614,iphone,www.google.dk,2,2
20190617,iphone,www.qq.com,1,1
20190614,,www.sinomach.com.cn,1,1
20190620,,kuaibao.qq.com,45594,30343
20190620,,xa911.cn,2,2
20190619,,123.125.45.236,1,1
20190618,iphone,yz.m.sm.cn,118,115
20190620,,lkong.cn,1,1
20190615,,images.wjbaike.site,12,11
20190619,,zhidao.baidu.com,2,2
20190620,,www.huojianhao.com,2,2
20190619,android,zjc.91job.gov.cn,1,1
20190616,,r.search.yahoo.com,1,1
20190614,iphone,www.google.com.tw,469,424
20190615,,www.51taojinge.com,3708,213
20190615,android,www.baidu.com,68,64
20190614,iphone,zb.mangsou.com,7,2
20190616,iphone,www.lanzhouhao.com,1,1
20190618,,www.ab173.com,5,3
20190614,,audit.mp.sohuno.com,3,1
20190620,,confluence-team.smzdm.com,1,1
20190614,,www.miui.com,1,1
20190620,,180.97.80.128,1,1
20190619,iphone,www.bing.com,1,1
20190617,android,cse.google.com,2,1
20190617,,meijiehz.com,14,7
20190618,android,172.16.40.11,1,1
20190620,,60.10.25.61,2,1
20190620,iphone,www.google.com.mx,1,1
20190620,,www.quanmeipai.com,7,2
20190620,iphone,www.google.com.ph,4,4
20190620,,172.16.0.100,1,1
20190619,,s.miaojian.com,1,1
20190618,,admin.sipaphoto.com,16,2
20190617,,yibin.yuqing.pro,4,2
20190615,iphone,kuaibao.qq.com,677,288
20190615,android,192.168.0.5,3,3
20190619,,news.webdev.com,1,1
20190617,android,static.scloud.letv.com,1,1
20190618,,www.douban.com,4,4
20190619,,tapd.oa.com,6,5
20190617,,www.facebook.com,3,3
20190617,android,192.168.10.2,1,1
20190619,iphone,kuaibao.qq.com,884,396
20190620,iphone,m.sp.sm.cn,11,11
20190615,android,m.blog.naver.com,1,1
20190618,android,cq.qq.com,1,1
20190615,android,m.sogou.com,12589,11554
20190619,,124.205.180.98,39,20
20190615,,xa911.cn,2,2
20190618,,imis.baijiahao.baidu.com,21,2
20190618,,hancheng.yuqing.pro,1,1
20190617,,www.ifdcl.icu,1,1
20190619,,filecheck.360doc.com,3,3
20190619,android,192.168.10.252,1,1
20190619,,test.p.kp.webdev.com,10,2
20190618,,origin.yunzitui.com,1,1
20190616,android,m.chinapinjinamc.cn,1,1
20190614,android,2.2.2.3,1,1
20190618,,ga.xinhe.aks.xj.yuqing.pro,2,2
20190617,,www4.bing.com,1,1
20190614,,tech.qq.com,1,1
20190619,android,coral.qq.com,27,17
20190620,,www.zmedia.com,64,2
20190614,android,caup.cn,1,1
20190620,android,www.immomo.com,2,2
20190614,iphone,news.zhibo8.cc,1,1
20190614,,sys.peopleyuqing.com,2,1
20190620,,ga.pt.qnz.gz.topic.yuqing.pro,1,1
20190617,,716.yuqing.pro,2,1
20190620,,www.myrwtg.com,4,1
20190619,,news.jxnu.edu.cn,2,2
20190618,iphone,www.haohua.com,2,1
20190616,android,h5.qzone.qq.com,2,2
20190614,android,192.168.101.3,2,2
20190614,iphone,www.yuqing.pro,12,10
20190615,,mp.weixin.qq.com,1,1
20190614,,yz.m.sm.cn,3,3
20190616,android,www.chu.edu.cn,1,1
20190614,,cq.qq.com,432,333
20190619,,gaoloumi.cc,2,1
20190617,android,www.google.ca,23,23
20190616,iphone,m.qq.com,1,1
20190620,android,www.wangid.com,6,6
20190616,android,m.mmgdfr.cn,1,1
